,n_cves_corr,worst_cve_corr,support
EAL,-0.1265381418504399,-0.122634553846034,589
ALC_CMS,-0.187707028332845,-0.107014939615076,384
ASE_TSS,-0.04024749966043635,-0.34161402956057174,268
ATE_DPT,-0.054767921640734116,-0.1488300456298533,203
ADV_FSP,-0.13390065389189257,-0.05879369056881927,545
ALC_LCD,-0.02029661975561807,-0.009652962524880517,174
ASE_OBJ,-0.10570250968768123,-0.18064120189583224,265
ADV_INT,-0.5708366785557625,0.03914533647356918,12
ASE_REQ,-0.10172502069062431,-0.16150967076438524,265
ALC_DVS,-0.03386403845539733,-0.32052102522435877,205
ACM_SCP,-0.0988612063835564,0.05818146872443036,103
ACM_CAP,0.05455413479498132,0.08201904072170499,153
ATE_FUN,-0.0062642160339191665,-0.002298755844574047,367
ADO_DEL,-0.002678473495218165,0.08742339549515309,151
ADV_TDS,0.13490270548019093,0.0282003469854524,216
ADV_IMP,-0.023401479046875968,-0.011090004259546343,151
ALC_TAT,-0.11021152016332066,-0.28216349818845027,147
AVA_VLA,-0.015419374291001852,0.0006224914120306523,152
ALC_CMC,-0.19182130024301736,-0.09503527120607588,389
ATE_IND,-0.19887552748358073,-0.1794127681824968,539
ALC_FLR,0.1302425711882881,0.10486404139404411,322
ATE_COV,0.10074307540873122,0.06795166591154543,367
AVA_MSU,-0.08098388159037712,0.07296377431813549,108
AVA_VAN,-0.20892352542702528,-0.21612283740630733,389
ADV_HLD,0.09786985761071032,0.032235161160834316,151
